outlet_name,postal_code,outlet_type,group1_wins,group2_wins,combined_wins,source
Delisia Agency Pte Ltd,188425,Authorised Retailer,26,100,126,matched
Tong Aik Huat,530685,Authorised Retailer,23,143,166,matched
NTUC FairPrice NEX,556083,Authorised Retailer (FairPrice),18,82,100,matched
Tan Wee Fong Trading,330024,Authorised Retailer,16,72,88,matched
Singapore Pools King George's Ave Branch,200803,Branch,16,40,56,matched
NTUC FairPrice AMK Hub,569933,Authorised Retailer (FairPrice),16,59,75,matched
Fatt Chye Heng Trading,530007,Authorised Retailer,16,58,74,matched
PFG Framing & Trading,640960,Authorised Retailer,14,54,68,matched
Ng Teo Guan Self Service,400301,Authorised Retailer,14,80,94,matched
Mee Lee Cheong Pte. Ltd.,521139,Authorised Retailer,14,54,68,matched
Laura's Gifts,510442,Authorised Retailer,14,32,46,matched
Singapore Pools Suntec City Branch,038983,Branch,13,38,51,matched
Singapore Pools People's Park Centre (Chinatown) Branch,058357,Branch,13,83,96,matched
NTUC FairPrice Tampines Mall,529510,Authorised Retailer (FairPrice),13,65,78,matched
7-Eleven Store Eunos Crescent,401001,Authorised Retailer (7-Eleven),13,35,48,matched
Singapore Pools Toa Payoh Lorong 1 Branch,310111,Branch,12,49,61,matched
Singapore Pools Hougang N1 Branch,530106,Branch,12,47,59,matched
Singapore Pools Clementi N7 Branch,120722,Branch,12,37,49,matched
NTUC FairPrice Toa Payoh HDB Centre,310500,Authorised Retailer (FairPrice),12,34,46,matched
NTUC FairPrice Clementi Avenue 3,120451,Authorised Retailer (FairPrice),12,36,48,matched
Singapore Pools Yishun N1 Branch,760101,Branch,11,58,69,matched
Singapore Pools Whampoa Drive Branch,320088,Branch,11,54,65,matched
Singapore Pools Teck Whye Branch,680141,Branch,11,48,59,matched
Singapore Pools Tanjong Pagar Branch,082001,Branch,11,61,72,matched
Singapore Pools Jurong West N5 Branch,640508,Branch,11,64,75,matched
Singapore Pools IMM Branch,609601,Branch,11,45,56,matched
Singapore Pools Hougang N2 Branch,530211,Branch,11,56,67,matched
NTUC FairPrice Yishun MRT Station,769093,Authorised Retailer (FairPrice),11,49,60,matched
NTUC FairPrice Jurong Gateway Road,600135,Authorised Retailer (FairPrice),11,46,57,matched
Jake Merchandise Associates,520503,Authorised Retailer,11,42,53,matched
7-Eleven Store Yishun Ring Road,760103,Authorised Retailer (7-Eleven),11,51,62,matched
Wanrise,380047,Authorised Retailer,10,41,51,matched
Tay Sui Lan Agency,049317,Authorised Retailer,10,45,55,matched
Tampines Trading - 828,520828,Authorised Retailer,10,53,63,matched
Singapore Pools Woodlands 888 Branch,730888,Branch,10,51,61,matched
Singapore Pools Tampines Mart Branch,529287,Branch,10,24,34,matched
Singapore Pools Clementi N3 Branch,120325,Branch,10,46,56,matched
Singapore Pools Bencoolen Branch,189646,Branch,10,58,68,matched
Rangoon Provision Shop,210681,Authorised Retailer,10,38,48,matched
NTUC FairPrice Bukit Batok MRT Station,659958,Authorised Retailer (FairPrice),10,30,40,matched
Livewire Singapore Pools,188994,Lottery Lobby,10,48,58,matched
Livewire Marina Bay Sands,018972,Livewire,10,40,50,matched
Lee Eng Trading Store,522201,Authorised Retailer,10,44,54,matched
Cheers Harbourfront Centre,099253,Authorised Retailer,10,35,45,matched
Singapore Pools Woodlands N5 Branch,730548,Branch,9,39,48,matched
Singapore Pools Toa Payoh Lorong 8 Branch,310212,Branch,9,34,43,matched
Singapore Pools New Upper Changi Branch,462026,Branch,9,28,37,matched
Singapore Pools Lorong 25A Geylang Branch,388251,Branch,9,47,56,matched
Singapore Pools Jurong West N4 Branch,640498,Branch,9,53,62,matched
Singapore Pools Clementi Town Centre Branch,120446,Branch,9,68,77,matched
Singapore Pools Bedok Town Centre Branch,460204,Branch,9,54,63,matched
NTUC FairPrice Lot 1 Shoppers' Mall,689812,Authorised Retailer (FairPrice),9,30,39,matched
Nan Huat Wine Store,570513,Authorised Retailer,9,40,49,matched
Evercool Engineering,310095,Authorised Retailer,9,34,43,matched
Tan Boon Tin Agency,440056,,8,23,31,scraped
Singapore Pools Pasir Ris N2 Branch,510259,Branch,8,45,53,matched
Singapore Pools Ang Mo Kio N7 Branch,560726,Branch,8,46,54,matched
Singapore Pools Ang Mo Kio N2 Branch,560202,Branch,8,43,51,matched
Seah Geok Eng Agency - Rivervale Plaza,540118,Authorised Retailer,8,42,50,matched
NTUC FairPrice White Sands,518457,Authorised Retailer (FairPrice),8,39,47,matched
NTUC FairPrice Sun Plaza,757713,Authorised Retailer (FairPrice),8,34,42,matched
NTUC FairPrice Jurong Point,648331,Authorised Retailer (FairPrice),8,64,72,matched
NTUC FairPrice Bedok North Street 4,460089,Authorised Retailer (FairPrice),8,23,31,matched
Giant Sunshine Place,680475,Authorised Retailer,8,25,33,matched
Cheers Hougang Central,530810,Authorised Retailer,8,45,53,matched
Vitatron & Medical Co,058963,Authorised Retailer,7,28,35,matched
Teo Sook Cheng Agency,760293,Authorised Retailer,7,65,72,matched
Soh Choo Trading,730019,Authorised Retailer,7,37,44,matched
Singapore Pools Tampines N4 Branch,520481,Branch,7,20,27,matched
Singapore Pools Serangoon Central Branch,550254,Branch,7,41,48,matched
Singapore Pools Potong Pasir Branch,350148,Branch,7,17,24,matched
Singapore Pools Lucky Plaza Branch,238863,Branch,7,67,74,matched
Singapore Pools Holland Drive Branch,270046,Branch,7,56,63,matched
Singapore Pools Bukit Panjang Branch,670257,Branch,7,46,53,matched
Singapore Pools Bishan N2 Branch,570279,Branch,7,36,43,matched
Singapore Pools Ang Mo Kio N4 Branch,560447,Branch,7,45,52,matched
Singapore Pools Anchorvale Road Branch,540308,Branch,7,25,32,matched
Seah Koon Huat - Bukit Merah View,151116,Authorised Retailer,7,29,36,matched
Prime Punggol Field,820108,Authorised Retailer,7,26,33,matched
NTUC FairPrice Tanjong Pagar Plaza,081005,Authorised Retailer (FairPrice),7,22,29,matched
NTUC FairPrice Bukit Merah Central,150166,Authorised Retailer (FairPrice),7,33,40,matched
Metro Woodlands,738099,Authorised Retailer,7,29,36,matched
Livewire (Resorts World Sentosa),098138,,7,35,42,scraped
Kis Store,500004,Authorised Retailer,7,23,30,matched
Clifford Gift Shop,560532,Authorised Retailer,7,48,55,matched
Cheers Changi Village Road,500004,Authorised Retailer,7,39,46,matched
7-Eleven Store Owen Road,210045,Authorised Retailer (7-Eleven),7,16,23,matched
Xie Sheng Departmental Service Company,470632,Authorised Retailer,6,27,33,matched
Singapore Pools Woodlands N3 Branch,730305,Branch,6,47,53,matched
Singapore Pools LOT One Branch,689812,Authorised Retailer (FairPrice),6,21,27,matched
Singapore Pools Jurong West N2 Branch,640276,Branch,6,16,22,matched
Singapore Pools Jurong East Branch,600351,Branch,6,45,51,matched
Singapore Pools Hougang N3 Branch,530322,Branch,6,23,29,matched
Singapore Pools Gek Poh Shopping Centre (Jurong West N7) Branch,640762,,6,43,49,scraped
Singapore Pools Funan Branch,179105,Branch,6,12,18,matched
Singapore Pools Circuit Road 64 Branch,370064,Branch,6,14,20,matched
Singapore Pools Bukit Batok Central Branch,650642,Branch,6,50,56,matched
Singapore Pools Ang Mo Kio N6 Branch,560630,Branch,6,38,44,matched
NTUC FairPrice Yishun Ring Road,760849,Authorised Retailer (FairPrice),6,30,36,matched
NTUC FairPrice Serangoon North Avenue 1,552152,Authorised Retailer (FairPrice),6,32,38,matched
NTUC FairPrice Havelock Road,160050,Authorised Retailer (FairPrice),6,10,16,matched
NTUC FairPrice Changi Business Park,486018,Authorised Retailer (FairPrice),6,23,29,matched
Ng Nam Thye Trading - Taman Jurong,610399,Authorised Retailer,6,27,33,matched
Li Thoe Trading,380119,Authorised Retailer,6,32,38,matched
Li Li Cheng Supermarket (Punggol) Pte Ltd,823273,Authorised Retailer,6,23,29,matched
Cold Storage Compass One,545078,Authorised Retailer,6,39,45,matched
Chua Yan Kee,142049,,6,8,14,scraped
Chng Siow Eng Agency,510625,Authorised Retailer,6,26,32,matched
Cheng Tai Boon Beng,238841,Authorised Retailer,6,21,27,matched
Cheng Chew Wah Agency - Marine Terrace,440058,Authorised Retailer,6,26,32,matched
7-Eleven Store McCallum Street,069044,Authorised Retailer (7-Eleven),6,37,43,matched
Wong Teck Chow Enterprise (Private) Limited,188061,Authorised Retailer,5,5,10,matched
U Stars Sumang Walk,820218,,5,2,7,scraped
Tuck Lee Long,560159,Authorised Retailer,5,23,28,matched
Tay Ah Tho Trading,730768,Authorised Retailer,5,25,30,matched
Tan Kai Huat Provision Shop,530123,Authorised Retailer,5,17,22,matched
Singapore Pools Sim Lim Square Branch,188504,Branch,5,28,33,matched
